,Date,Date (UTC),Batch requests/sec,User connections,SQL Server: processor time for PRODSQL\ACCT,Free memory,Page reads/sec,Disk avg. read time > M: Data 1,Disk avg. read time > N: Data 2,Disk avg. read time > I: Index,Disk avg. write time > M: Data 1,Disk avg. write time > N: Data 2,Disk avg. write time > I: Index,Compilations/batch,Latch wait time,Disk avg. read time data
322,2024-04-30 05:23:00,2024-04-30 10:23:00,254.853532791282,1621.0,9.37575273626497,13.813957214355469,193.57240705186,1.0648,1.0949,1.1389,0.3048,0.0,0.0,0.698885738774972,0.5249,2.1597
323,2024-04-30 05:24:00,2024-04-30 10:24:00,111.223529502203,1629.0,9.19359518883617,13.870574951171875,90.8617853310073,1.0657,1.6432,1.1415,0.253,0.0,0.0,0.758634457975643,0.4354,2.7089
324,2024-04-30 05:25:00,2024-04-30 10:25:00,121.724450347722,1654.0,9.32535009909303,13.899215698242188,118.426045917881,1.3029,1.0014,1.4501,0.3759,0.4582,0.0,9.38825783495278,1.4011,2.3043
325,2024-04-30 05:26:00,2024-04-30 10:26:00,115.13033898125,1627.0,9.01961406172595,13.700096130371094,49.1702489399092,13.7813,1.1383,1.1383,0.3385,0.0,0.0,1.13811728395061,0.7443,14.919599999999999
326,2024-04-30 05:27:00,2024-04-30 10:27:00,170.445427753013,1541.0,9.17635246694333,13.836112976074219,4.44727149516804,1.2709,1.2219,1.2198,0.5849,0.6207,0.6989,1.34857812958076,0.7402,2.4928
327,2024-04-30 05:28:00,2024-04-30 10:28:00,120.686448992423,1541.0,9.12076380157277,13.833877563476562,3.1825364845441,1.3739,0.58425,1.3887999999999998,0.4003,0.37435,0.3286,0.9940632334667949,0.5824,1.9581499999999998
328,2024-04-30 05:29:00,2024-04-30 10:29:00,125.851434574736,1550.0,9.65488886957794,13.8248291015625,6.27593938055515,1.1807,1.2999,1.2867,0.531,1.0478,0.3488,1.35682819383259,0.3956,2.4806
329,2024-04-30 05:30:00,2024-04-30 10:30:00,118.9939305619165,1607.5,9.869518886083394,13.481781005859375,15.6704712657268,1.2767,1.1321,1.68,0.3816,0.3321,0.0,2.43399024383197,0.51755,2.4088000000000003
330,2024-04-30 05:31:00,2024-04-30 10:31:00,102.491035540706,1761.0,11.9556140216745,13.680824279785156,134.306065263239,1.1575,1.0349,3.6624,0.2934,0.0,0.0,3.39671704859418,0.7965,2.1924
331,2024-04-30 05:32:00,2024-04-30 10:32:00,92.3671855426072,1773.0,9.78294838712119,13.734649658203125,187.177359882927,1.6167,1.3005,1.2636,0.0,0.0,0.0,3.1257513825438803,1.0257,2.9172000000000002
332,2024-04-30 05:33:00,2024-04-30 10:33:00,92.3572817041749,1808.0,9.71456520997204,13.79437255859375,71.7538628641272,1.5154,1.253,1.25,1.5576,2.6842,1.0213,3.80522993688007,0.8868,2.7683999999999997
333,2024-04-30 05:34:00,2024-04-30 10:34:00,111.26048685877,1788.0,9.91325908502304,13.775039672851562,72.9413160367335,1.2197,1.1987,1.2084,0.3296,0.2926,0.0,2.2451728783116303,0.8956,2.4184
334,2024-04-30 05:35:00,2024-04-30 10:35:00,78.1724134130529,1760.0,9.2879303362627,12.857612609863281,96.9044613116326,1.2186,1.0187,1.0786,0.3375,0.4715,0.3121,21.0915292779988,0.7159,2.2373
335,2024-04-30 05:36:00,2024-04-30 10:36:00,72.1337416960311,1739.0,8.88130942019386,14.235977172851562,275.75973196207,1.0941,1.24,2.3076,0.1872,0.2341,0.2739,1.85822436338609,1.3449,2.3341000000000003
336,2024-04-30 05:37:00,2024-04-30 10:37:00,97.7459407531973,1753.0,9.21930859849533,14.406776428222656,167.090906970406,1.1754,1.2255,6.5002,0.6068,0.6364,0.6462,2.58936755270394,0.1899,2.4009
337,2024-04-30 05:38:00,2024-04-30 10:38:00,72.84500656384529,1723.5,9.382232055060285,14.528800964355469,106.78736498927948,0.0,0.978,1.11,0.4235,0.5662,0.5784,4.0461675250975855,0.45030000000000003,0.978
338,2024-04-30 05:39:00,2024-04-30 10:39:00,70.1374361211269,1720.0,9.09648751026617,14.5780029296875,6.46090342236402,1.2533,1.2515,1.2371,0.3606,0.4475,0.3426,2.84900284900284,0.1945,2.5048000000000004
339,2024-04-30 05:40:00,2024-04-30 10:40:00,90.4405234767478,1726.0,8.90870122986615,14.552665710449219,74.6117656832861,1.3102,1.2581,1.1464,0.2854,0.3579,0.296,3.53721444362564,0.4402,2.5683
340,2024-04-30 05:41:00,2024-04-30 10:41:00,75.5691567005898,1742.0,8.85324340457902,14.551376342773438,101.913959712612,1.0291,1.1462,1.2067,0.3631,0.0,0.0,3.08641975308641,0.7942,2.1753
341,2024-04-30 05:42:00,2024-04-30 10:42:00,80.6259255017747,1734.0,9.092862069297,14.536384582519531,146.506253965097,1.0557,1.294,1.3629,0.0,0.0,0.0,7.8735275883446905,0.5924,2.3497000000000003
342,2024-04-30 05:43:00,2024-04-30 10:43:00,68.2903751241145,1752.0,9.21489134431999,14.470687866210938,7.21533547312654,1.7101,1.3341,1.6363,0.3735,0.3886,0.4014,3.2509752925877695,0.2297,3.0442
343,2024-04-30 05:44:00,2024-04-30 10:44:00,71.5696647201995,1795.0,8.94636310387061,14.522293090820312,5.3823054027065,1.2114,1.1906,1.1326,0.0,0.0,0.0,6.449359720605349,0.3451,2.402
344,2024-04-30 05:45:00,2024-04-30 10:45:00,96.958206290979,1847.0,9.2911018400087,14.520118713378906,7.69800503633481,1.04875,1.2524000000000002,1.3188499999999999,0.1447,0.0,0.0,12.3045196769204,0.3907,2.3011500000000003
345,2024-04-30 05:46:00,2024-04-30 10:46:00,111.529944343229,1971.0,9.52459947676372,14.360404968261719,14.579222728512,1.1067,1.0705,0.9134,0.2965,0.0,0.0,5.13330680461599,0.0396,2.1772
346,2024-04-30 05:47:00,2024-04-30 10:47:00,84.00343930090486,1971.5,10.32115141268301,14.648868560791016,158.1151763520295,1.4883,1.3456,1.12,0.2884,0.0,0.0,2.471780587850075,0.6496500000000001,2.8339
347,2024-04-30 05:48:00,2024-04-30 10:48:00,95.3917631927966,1943.0,9.3627454574192,14.620254516601562,4.01491703273908,1.0628,1.1227,1.7797,0.0,0.0,0.0,1.86866922808243,0.3048,2.1855
348,2024-04-30 05:49:00,2024-04-30 10:49:00,96.3989308674445,1884.0,9.30868618857722,14.671966552734375,185.690106463556,0.8508,0.7954,1.0964,0.0,0.0,0.0,2.4654377880184297,0.5215,1.6461999999999999
349,2024-04-30 05:50:00,2024-04-30 10:50:00,125.258381014537,1925.0,9.13316898134148,14.6343994140625,26.9172265584432,1.1566,1.1376,1.1681,0.3383,0.0,0.0,3.55053191489361,0.041,2.2942
350,2024-04-30 05:51:00,2024-04-30 10:51:00,86.5463461737175,1900.0,8.99859006630846,14.678268432617188,70.9923174405537,1.1393,1.497,1.0396,0.0,0.0,0.0,1.9434289012892,0.1763,2.6363000000000003
351,2024-04-30 05:52:00,2024-04-30 10:52:00,51.3867292888989,1832.0,8.64254975980025,14.679771423339844,5.55233278153837,1.1641,1.1998,1.1514,0.0,0.0,0.0,4.47696943607404,0.1236,2.3639
352,2024-04-30 05:53:00,2024-04-30 10:53:00,128.26393351969,1849.0,9.04413776932897,14.650436401367188,156.276749857844,1.0689,1.14765,1.2610999999999999,0.1695,0.0,0.0,5.14725045608548,0.959,2.21655
